tas;	Year; Month; Country; ISO3; ISO2
25,8926;2012;2;BRA;;
25,8586;2012;3;BRA;;
25,9351;2012;4;BRA;;
24,9448;2012;5;BRA;;
24,4159;2012;6;BRA;;
24,159;2012;7;BRA;;
25,013;2012;8;BRA;;
26,4278;2012;9;BRA;;
27,1908;2012;10;BRA;;
26,6045;2012;11;BRA;;
26,5033;2012;12;BRA;;
26,2797;2013;1;BRA;;
26,421;2013;2;BRA;;
26,4633;2013;3;BRA;;
25,7173;2013;4;BRA;;
25,0598;2013;5;BRA;;
24,7923;2013;6;BRA;;
24,2248;2013;7;BRA;;
24,5482;2013;8;BRA;;
26,1844;2013;9;BRA;;
26,541;2013;10;BRA;;
26,1609;2013;11;BRA;;
26,3776;2013;12;BRA;;
26,351;2014;1;BRA;;
26,1318;2014;2;BRA;;
25,9359;2014;3;BRA;;
25,9241;2014;4;BRA;;
25,013;2014;5;BRA;;
24,5104;2014;6;BRA;;
24,0321;2014;7;BRA;;
25,2679;2014;8;BRA;;
26,8389;2014;9;BRA;;
26,9653;2014;10;BRA;;
26,6748;2014;11;BRA;;
26,3578;2014;12;BRA;;
26,6425;2015;1;BRA;;
26,3971;2015;2;BRA;;
26,027;2015;3;BRA;;
25,9741;2015;4;BRA;;
25,2458;2015;5;BRA;;
24,6914;2015;6;BRA;;
24,7691;2015;7;BRA;;
25,7966;2015;8;BRA;;
27,3316;2015;9;BRA;;
27,21;2015;10;BRA;;
27,3725;2015;11;BRA;;
27,1024;2015;12;BRA;;
